City Name,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed,Date
Yumen,40.28,97.2,296.98,36,30,4.54,2020-07-14 02:01:18
Yellowknife,62.46,-114.35,287.09,100,90,7.7,2020-07-14 02:01:18
Dunmore Town,25.5,-76.65,302.11,77,100,4.5,2020-07-14 02:01:19
Nyagan,62.14,65.39,287.12,55,25,1.97,2020-07-14 02:01:19
Pemangkat,1.17,108.97,296.95,95,100,5.36,2020-07-14 02:01:19
Ushuaia,-54.8,-68.3,273.15,93,40,8.7,2020-07-14 02:01:19
Presidencia Roque Sáenz Peña,-26.79,-60.44,283.74,65,0,3.22,2020-07-14 02:01:19
Kaitangata,-46.28,169.85,284.26,61,57,2.68,2020-07-14 02:01:19
Xichang,27.9,102.26,295.19,73,100,1.53,2020-07-14 02:01:19
Severo-Yeniseyskiy,60.37,93.04,293.56,58,6,3.43,2020-07-14 02:01:19
Constitución,-35.33,-72.42,284.53,75,87,2.82,2020-07-14 02:01:19
Gouyave,12.16,-61.73,301.15,83,20,6.42,2020-07-14 02:01:20
Bluff,-46.6,168.33,282.32,75,79,5.87,2020-07-14 02:01:04
Cape Town,-33.93,18.42,283.17,71,75,2.6,2020-07-14 01:57:30
Chokurdakh,70.63,147.92,292.97,31,31,6.38,2020-07-14 02:01:20
Harrison,30.41,-89.04,301.03,70,40,1.5,2020-07-14 02:01:20
Atuona,-9.8,-139.03,299.58,78,53,7.82,2020-07-14 02:01:20
Ekhabi,53.51,142.97,287.65,80,100,3.2,2020-07-14 02:01:20
Sioux Lookout,50.1,-91.92,297.15,53,90,5.1,2020-07-14 02:01:20
Longyearbyen,78.22,15.64,282.15,70,75,2.6,2020-07-14 02:01:21
Kodinsk,58.69,99.18,298.42,46,68,0.91,2020-07-14 02:01:21
Barrow,71.29,-156.79,276.15,76,90,4.6,2020-07-14 02:01:21
Vallenar,-28.57,-70.76,288.4,60,0,0.54,2020-07-14 02:01:21
Maniitsoq,65.42,-52.9,279.57,84,4,9.32,2020-07-14 02:01:21
San Quintín,30.48,-115.95,295.67,70,0,5.06,2020-07-14 02:01:21
Necochea,-38.55,-58.74,277.04,75,47,3.58,2020-07-14 02:01:21
Naryan-Mar,67.67,53.09,282.46,78,84,2.43,2020-07-14 02:01:21
Punta Arenas,-53.15,-70.92,274.98,90,98,1.93,2020-07-14 02:01:22
Ostrovnoy,68.05,39.51,281.47,80,81,1.5,2020-07-14 02:01:22
Betanzos,43.28,-8.21,288.49,87,52,1.0,2020-07-14 02:01:22
New Norfolk,-42.78,147.06,280.36,87,14,0.54,2020-07-14 02:01:22
Pacific Grove,36.62,-121.92,287.51,77,90,4.1,2020-07-14 02:01:22
Jamestown,42.1,-79.24,291.7,77,1,1.5,2020-07-14 02:01:12
Saskylakh,71.92,114.08,294.35,46,30,6.63,2020-07-14 02:01:23
Clyde River,70.47,-68.59,283.15,76,1,3.6,2020-07-14 01:59:47
Pisco,-13.7,-76.22,288.39,93,90,1.5,2020-07-14 01:59:21
Tuktoyaktuk,69.45,-133.04,291.15,55,75,3.6,2020-07-14 02:01:23
Busselton,-33.65,115.33,283.71,92,2,0.45,2020-07-14 02:01:23
Mataura,-46.19,168.86,281.3,81,97,1.85,2020-07-14 02:01:23
Saint-Philippe,-21.36,55.77,288.62,68,60,3.1,2020-07-14 01:59:08
Nome,64.5,-165.41,286.48,71,1,8.7,2020-07-14 02:01:23
Kapaa,22.08,-159.32,300.39,69,40,6.7,2020-07-14 02:01:24
Kawalu,-7.38,108.21,297.89,84,71,1.36,2020-07-14 01:59:46
Goderich,43.75,-81.72,291.48,85,0,3.58,2020-07-14 02:01:24
Salinópolis,-0.61,-47.36,299.01,86,46,4.98,2020-07-14 02:01:24
Agüimes,27.91,-15.45,294.2,73,20,12.9,2020-07-14 02:01:24
Te Anau,-45.42,167.72,279.17,81,14,0.19,2020-07-14 02:01:24
Vaini,-21.2,-175.2,298.15,61,40,5.7,2020-07-14 02:01:24
Dikson,73.51,80.55,277.22,99,100,6.1,2020-07-14 02:01:25
Bredasdorp,-34.53,20.04,281.15,87,100,5.1,2020-07-14 02:01:25
Leningradskiy,69.38,178.42,278.51,79,100,5.25,2020-07-14 02:01:25
Albany,42.6,-73.97,297.41,62,12,2.97,2020-07-14 02:01:05
Boa Vista,2.82,-60.67,299.15,88,40,0.5,2020-07-14 02:01:25
Samarai,-10.62,150.67,299.28,88,82,4.38,2020-07-14 02:01:26
Sarangani,5.4,125.46,302.18,68,72,3.65,2020-07-14 02:01:26
Bethel,41.37,-73.41,294.72,78,1,2.1,2020-07-14 01:58:23
Rikitea,-23.12,-134.97,295.86,85,100,6.48,2020-07-14 02:01:26
Mossamedes,-15.2,12.15,289.36,81,0,0.93,2020-07-14 02:01:26
Khatanga,71.97,102.5,295.43,42,69,5.2,2020-07-14 02:01:26
Pullman,46.73,-117.18,295.07,26,1,2.1,2020-07-14 02:01:26
Phalodi,27.13,72.37,305.26,54,0,5.59,2020-07-14 02:01:26
Hobart,-42.88,147.33,281.82,75,75,2.6,2020-07-14 01:58:08
Hithadhoo,-0.6,73.08,302.45,72,100,4.16,2020-07-14 02:01:27
San Ramon,37.78,-121.98,292.82,53,1,7.2,2020-07-14 02:00:10
Rayachoti,14.05,78.75,299.86,69,100,4.97,2020-07-14 02:01:27
Bambous Virieux,-20.34,57.76,293.42,94,40,3.1,2020-07-14 02:01:27
Thompson,55.74,-97.86,291.15,88,75,2.1,2020-07-14 01:59:18
Calama,-22.47,-68.93,282.15,4,1,1.0,2020-07-14 02:00:02
Tasiilaq,65.61,-37.64,279.15,81,66,0.5,2020-07-14 02:01:28
Hong Kong,22.29,114.16,304.61,74,29,3.58,2020-07-14 01:59:09
Svecha,58.28,47.52,292.9,97,98,3.46,2020-07-14 02:01:28
Shelburne,44.08,-80.2,291.33,77,90,2.1,2020-07-14 02:00:18
